smiles,omega
[SiH2]1c(ccc1-c1ccc(cn1)-c1ccc[nH]1)-c1ccco1,0.198124
[SiH2]1c(ccc1-c1ccc[nH]1)-c1[SiH2]c(cc1)-c1ccc[nH]1,0.187087
[SiH2]1c(ccc1-c1cccc2cscc12)-c1sc(-c2scc3nccnc23)c2ccoc12,0.168451
[SiH2]1c(ccc1-c1cccc2cscc12)-c1sc(-c2scc3occc23)c2sccc12,0.166846
[SiH2]1c(ccc1-c1cccc2nsnc12)-c1ccc(-c2ccccn2)c2c[nH]cc12,0.182034
[SiH2]1c(ccc1-c1cccc2nsnc12)-c1sc(-c2ccco2)c2ccoc12,0.177868
[SiH2]1c(ccc1-c1cccnc1)-c1ccc(cc1)-c1cccc2cocc12,0.194138
[SiH2]1c(ccc1-c1cncc2nsnc12)-c1ccc(o1)-c1scc2cc[nH]c12,0.189845
[SiH2]1c(ccc1-c1cncs1)-c1[SiH2]c(cc1)-c1scc2ccsc12,0.174869
[SiH2]1c(ccc1-c1ncc(-c2scc3occc23)c2nsnc12)-c1cccc2cocc12,0.177261
[SiH2]1c(ccc1-c1nccc2nsnc12)-c1ccc(-c2ccco2)c2c[nH]cc12,0.187835
[SiH2]1c(ccc1-c1sc(-c2cccc3nsnc23)c2ccsc12)-c1scc2cc[nH]c12,0.169468
[SiH2]1c(ccc1-c1sc(-c2scc3ccoc23)c2nccnc12)-c1scc2[nH]ccc12,0.166763
[SiH2]1c(ccc1-c1scc2cc[nH]c12)-c1ccc([nH]1)-c1cncs1,0.184764
[SiH2]1c(ccc1-c1scc2cc[nH]c12)-c1sc(-c2cccs2)c2occc12,0.17274
[SiH2]1c(ccc1-c1scc2ccsc12)-c1sc(-c2cccc3cscc23)c2[nH]ccc12,0.163433
[SiH2]1c(ccc1-c1scc2sccc12)-c1ccc(s1)-c1ccco1,0.18038
[SiH2]1C=c2c(cc3[nH]c4c(cnc5cc[nH]c45)c3c2=C1)-c1cncs1,0.190065
[SiH2]1C=c2c(cc3[nH]c4c(oc5ccc6c[nH]cc6c45)c3c2=C1)-c1cccs1,0.182743
[SiH2]1C=c2c(cc3[nH]c4c5[nH]ccc5c5ccccc5c4c3c2=C1)-c1ccco1,0.181052
[SiH2]1C=c2c(cc3[nH]c4c5[nH]ccc5oc4c3c2=C1)-c1ccc[nH]1,0.196068
[SiH2]1C=c2c(cc3[nH]c4c5[SiH2]C=Cc5[nH]c4c3c2=C1)-c1scc2ccsc12,0.178933
[SiH2]1C=c2c(cc3[nH]c4c5sccc5c5cocc5c4c3c2=C1)-c1cccc2cscc12,0.175477
[SiH2]1C=c2c(cc3[nH]c4cc[nH]c4c3c2=C1)-c1cncs1,0.201761
[SiH2]1C=c2c(cc3c(c4c5c[nH]cc5ccc4c4=C[SiH2]C=c34)c2=C1)-c1ccccn1,0.171255
[SiH2]1C=c2c(cc3c(c4c5cocc5c5C=C[SiH2]c5c4c4=C[SiH2]C=c34)c2=C1)-c1ccco1,0.16299
[SiH2]1C=c2c(cc3c(c4cnc5ccncc5c4c4=C[SiH2]C=c34)c2=C1)-c1scc2[nH]ccc12,0.166089
[SiH2]1C=c2c(cc3c4c[nH]cc4c4c5cnccc5ncc4c3c2=C1)-c1nccs1,0.174178
[SiH2]1C=c2c(cc3c4c[nH]cc4c4c5occc5cnc4c3c2=C1)-c1scc2occc12,0.171939
[SiH2]1C=c2c(cc3c4c[nH]cc4c4ccc5cscc5c4c3c2=C1)-c1nccs1,0.173952
[SiH2]1C=c2c(cc3c4ccccc4c4c5sccc5sc4c3c2=C1)-c1cccc2c[nH]cc12,0.170548
[SiH2]1C=c2c(cc3c4cocc4c4c5ccccc5oc4c3c2=C1)-c1scc2[SiH2]C=Cc12,0.170666
[SiH2]1C=c2c(cc3c4cocc4c4c5sccc5ccc4c3c2=C1)-c1cccs1,0.174954
[SiH2]1C=c2c(cc3c4cocc4c4cc5ccncc5cc4c3c2=C1)-c1nccs1,0.173546
[SiH2]1C=c2c(cc3c4cocc4c4ccc5cocc5c4c3c2=C1)-c1cccc2nsnc12,0.176054
[SiH2]1C=c2c(cc3c4cscc4ccc3c2=C1)-c1cc2c(ccc3cocc23)s1,0.178751
[SiH2]1C=c2c(cc3c4cscc4ccc3c2=C1)-c1cc2c3nsnc3ccc2c2c[nH]cc12,0.175882
[SiH2]1C=c2c(cc3c4nsnc4c4cc5ccncc5cc4c3c2=C1)-c1scc2[SiH2]C=Cc12,0.164154
[SiH2]1C=c2c(cc3cc4[nH]c5ccc6cocc6c5c4cc3c2=C1)-c1nccs1,0.183567
[SiH2]1C=c2c(cc3cc4c5cscc5c5C=C[SiH2]c5c4cc3c2=C1)-c1cccc2nsnc12,0.17147
[SiH2]1C=c2c(cc3cc4c5cscc5c5cc[nH]c5c4cc3c2=C1)-c1scc2ccsc12,0.173248
[SiH2]1C=c2c(cc3cc4ncc5ccccc5c4cc3c2=C1)-c1scc2ccoc12,0.176629
[SiH2]1C=c2c(cc3cc4oc5ccc6c[nH]cc6c5c4cc3c2=C1)-c1nccc2nsnc12,0.19426
[SiH2]1C=c2c(cc3cc4oc5ccc6ccccc6c5c4cc3c2=C1)-c1ccccn1,0.17796
[SiH2]1C=c2c(cc3ccc4c([nH]c5ccc6cocc6c45)c3c2=C1)-c1cccnc1,0.186469
[SiH2]1C=c2c(cc3ccc4c5[SiH2]C=Cc5sc4c3c2=C1)-c1scc2[nH]ccc12,0.180619
[SiH2]1C=c2c(cc3ccc4c5occc5ccc4c3c2=C1)-c1ccc[nH]1,0.187034
[SiH2]1C=c2c(cc3ccc4ccc5cscc5c4c3c2=C1)-c1scc2nccnc12,0.174256
[SiH2]1C=c2c(cc3cnc4c([nH]c5ccc6cscc6c45)c3c2=C1)-c1cccs1,0.182416
[SiH2]1C=c2c(cc3cnc4c5[nH]ccc5c5c[nH]cc5c4c3c2=C1)-c1cccc2cscc12,0.18093
[SiH2]1C=c2c(cc3cnc4c5cnccc5cnc4c3c2=C1)-c1scc2C=C[SiH2]c12,0.17576
[SiH2]1C=c2c(cc3cnc4cc[nH]c4c3c2=C1)-c1scc2ccoc12,0.193044
[SiH2]1C=c2c(cc3cnc4ccc5nsnc5c4c3c2=C1)-c1scc2nccnc12,0.175456
[SiH2]1C=c2c(cc3ncc4c(sc5ccc6cocc6c45)c3c2=C1)-c1scc2ccoc12,0.178963
[SiH2]1C=c2c(cc3ncc4c5ncccc5oc4c3c2=C1)-c1cncc2nsnc12,0.186934
[SiH2]1C=c2c(cc3ncc4c5occc5ccc4c3c2=C1)-c1cccnc1,0.185066
[SiH2]1C=c2c(cc3ncc4cc5ccoc5cc4c3c2=C1)-c1ccccc1,0.185539
[SiH2]1C=c2c(cc3ncc4ccc5ccccc5c4c3c2=C1)-c1ccc[nH]1,0.185038
[SiH2]1C=c2c(cc3oc4cc5cc[nH]c5cc4c3c2=C1)-c1cncs1,0.191136
[SiH2]1C=c2c(cc3oc4cc5ccncc5cc4c3c2=C1)-c1ncncn1,0.186085
[SiH2]1C=c2c(cc3oc4ccsc4c3c2=C1)-c1scc2cc[nH]c12,0.191376
[SiH2]1C=c2c(cc3sc4c(c3c2=C1)c1ccccc1c1ccc2c[nH]cc2c41)-c1cncs1,0.171967
[SiH2]1C=c2c(cc3sc4c(c5cscc5c5ccccc45)c3c2=C1)-c1cccc2cocc12,0.169751
[SiH2]1C=c2c(cc3sc4c(c5nsnc5c5ccc6=C[SiH2]C=c6c45)c3c2=C1)-c1ccc[nH]1,0.172265
[SiH2]1C=c2c(cc3sc4c(cnc5ccc6nsnc6c45)c3c2=C1)-c1scc2ccoc12,0.172739
[SiH2]1C=c2c(cc3sc4c(ncc5ccc6cocc6c45)c3c2=C1)-c1ccc[nH]1,0.179873
[SiH2]1C=c2c(cc3sc4c5[SiH2]C=Cc5c5cscc5c4c3c2=C1)-c1scc2[nH]ccc12,0.166983
[SiH2]1C=c2c3c([nH]c4cc(-c5cccc6cocc56)c5cscc5c34)c3ccccc3c2=C1,0.177106
[SiH2]1C=c2c3c([nH]c4ccc5c[nH]cc5c34)c3ccc(cc3c2=C1)-c1ccccc1,0.183572
[SiH2]1C=c2c3c([nH]c4ccc5c[nH]cc5c34)c3ccc(cc3c2=C1)-c1ccccn1,0.182933
[SiH2]1C=c2c3c([nH]c4ccoc34)c3c4cocc4c(cc3c2=C1)-c1cccc2c[nH]cc12,0.180344
[SiH2]1C=c2c3c(oc4cc(-c5cncs5)c5cscc5c34)c3c4cocc4ccc3c2=C1,0.173445
[SiH2]1C=c2c3c(oc4ccc5cscc5c34)c3ncc(cc3c2=C1)-c1cccc2cocc12,0.179543
[SiH2]1C=c2c3c(sc4cc(-c5cccs5)c5cscc5c34)c3ccccc3c2=C1,0.175657
[SiH2]1C=c2c3C=C([SiH2]c3c3c(c4c5cscc5ccc4c4=C[SiH2]C=c34)c2=C1)c1cncs1,0.156681
[SiH2]1C=c2c3C=C([SiH2]c3c3c4c[nH]cc4c4ccc5cscc5c4c3c2=C1)c1ccco1,0.163449
[SiH2]1C=c2c3C=C([SiH2]c3c3ccc4ccsc4c3c2=C1)c1ccccc1,0.176589
[SiH2]1C=c2c3C=C([SiH2]c3c3ccc4ccsc4c3c2=C1)c1scc2sccc12,0.1697
[SiH2]1C=c2c3C=C([SiH2]c3c3ncc4ccsc4c3c2=C1)C1=CC=C[SiH2]1,0.176162
[SiH2]1C=c2c3C=C[SiH2]c3c3c4nsnc4c4cc(oc4c3c2=C1)-c1cccc2cscc12,0.171437
[SiH2]1C=c2c3C=C[SiH2]c3c3cnc4cc(-c5scc6[nH]ccc56)c5=C[SiH2]C=c5c4c3c2=C1,0.171241
[SiH2]1C=c2c3C=C[SiH2]c3c3oc4cc([nH]c4c3c2=C1)-c1cccc2ccccc12,0.180451
[SiH2]1C=c2c3C=C[SiH2]c3c3oc4cc(sc4c3c2=C1)-c1cccc2cscc12,0.177564
[SiH2]1C=c2c3c4[SiH2]C(=Cc4[nH]c3c3cnccc3c2=C1)c1nccs1,0.18486
[SiH2]1C=c2c3c4[SiH2]C(=Cc4oc3c3c4cocc4ccc3c2=C1)c1cccc2cscc12,0.172961
[SiH2]1C=c2c3c4[SiH2]C=Cc4[nH]c3c3c4ccccc4c(cc3c2=C1)-c1ccco1,0.174535
[SiH2]1C=c2c3c4[SiH2]C=Cc4oc3c3ccc(cc3c2=C1)-c1ccco1,0.187956
[SiH2]1C=c2c3c4ccccc4sc3c3ccc(cc3c2=C1)C1=CC=C[SiH2]1,0.179474
[SiH2]1C=c2c3c4oc(cc4[nH]c3c3c4cscc4ccc3c2=C1)-c1cccs1,0.178947
[SiH2]1C=c2c3c4occc4sc3c3cnc(cc3c2=C1)-c1cccs1,0.189928
[SiH2]1C=c2c3c4sccc4oc3c3c4nsnc4c(cc3c2=C1)C1=CC=C[SiH2]1,0.177749
[SiH2]1C=c2c3c4sccc4sc3c3c4c[nH]cc4c(cc3c2=C1)-c1scc2sccc12,0.169546
[SiH2]1C=c2c3cc([nH]c3c3c4cscc4c4ccc5cscc5c4c3c2=C1)-c1ccc[nH]1,0.168951
[SiH2]1C=c2c3cc([nH]c3c3c4cscc4c4ccc5cscc5c4c3c2=C1)-c1ccco1,0.168232
[SiH2]1C=c2c3cc([nH]c3c3ccc4ccc5cocc5c4c3c2=C1)-c1scc2ccoc12,0.174208
[SiH2]1C=c2c3cc([nH]c3c3ccc4cccnc4c3c2=C1)-c1ccc[nH]1,0.188877
[SiH2]1C=c2c3cc([nH]c3c3cnc4ccc5cocc5c4c3c2=C1)-c1cncs1,0.181431
[SiH2]1C=c2c3cc([nH]c3c3ncc4ccoc4c3c2=C1)-c1cccc2c[nH]cc12,0.187955
[SiH2]1C=c2c3cc([nH]c3c3sc4C=C[SiH2]c4c3c2=C1)-c1scc2[nH]ccc12,0.178448
[SiH2]1C=c2c3cc([nH]c3c3sc4ccc5c[nH]cc5c4c3c2=C1)-c1scc2cc[nH]c12,0.174653
[SiH2]1C=c2c3cc(-c4ccccc4)c4ccccc4c3c3ncc4cccnc4c3c2=C1,0.174753
[SiH2]1C=c2c3cc(-c4ccccn4)c4nsnc4c3c3ncc4ccsc4c3c2=C1,0.17642
[SiH2]1C=c2c3cc(-c4cccs4)c4nsnc4c3c3c4nsnc4c4ccncc4c3c2=C1,0.167086
[SiH2]1C=c2c3cc(-c4nccs4)c4cscc4c3c3c4ccccc4c4C=C[SiH2]c4c3c2=C1,0.16086
[SiH2]1C=c2c3cc(-c4nccs4)c4cscc4c3c3c4ccccc4c4ccoc4c3c2=C1,0.164633
[SiH2]1C=c2c3cc(ccc3c3c4ccccc4c4ccoc4c3c2=C1)-c1ccc[nH]1,0.180681
[SiH2]1C=c2c3cc(ccc3c3cnc4cc[nH]c4c3c2=C1)-c1ncncn1,0.192646
[SiH2]1C=c2c3cc(ccc3c3ncc4ccncc4c3c2=C1)-c1ncncn1,0.185344
[SiH2]1C=c2c3cc(cnc3c3c4ccccc4c4ccoc4c3c2=C1)-c1scc2ccsc12,0.173057
[SiH2]1C=c2c3cc(cnc3c3c4cscc4c4ccoc4c3c2=C1)-c1ccco1,0.180437
[SiH2]1C=c2c3cc(cnc3c3cnc4cccnc4c3c2=C1)-c1cccc2ccccc12,0.183376
[SiH2]1C=c2c3cc(ncc3c3ccc4C=C[SiH2]c4c3c2=C1)-c1scc2[SiH2]C=Cc12,0.177047
[SiH2]1C=c2c3cc(oc3c3[nH]c4ccsc4c3c2=C1)-c1ccc[nH]1,0.192657
[SiH2]1C=c2c3cc(oc3c3ccc4C=C[SiH2]c4c3c2=C1)-c1scc2occc12,0.181363
[SiH2]1C=c2c3cc(sc3c3c4c[nH]cc4c4cccnc4c3c2=C1)C1=CC=C[SiH2]1,0.170564
[SiH2]1C=c2c3cc(sc3c3c4cscc4c4ccc5c[nH]cc5c4c3c2=C1)-c1ccccn1,0.165035
[SiH2]1C=c2c3cc(sc3c3cc4c5nsnc5ccc4cc3c2=C1)-c1scc2ccsc12,0.174429
[SiH2]1C=c2c3cc(sc3c3cnc4ccccc4c3c2=C1)-c1ccccn1,0.17938
[SiH2]1C=c2c3cc[nH]c3c3[nH]c4cc(C5=CC=C[SiH2]5)c5ccccc5c4c3c2=C1,0.186276
[SiH2]1C=c2c3cc[nH]c3c3c(c4[nH]c(cc4c4=C[SiH2]C=c34)-c3scc4C=C[SiH2]c34)c2=C1,0.169549
[SiH2]1C=c2c3cc[nH]c3c3c4c[nH]cc4c4cc(-c5nccs5)c5cocc5c4c3c2=C1,0.173149
[SiH2]1C=c2c3cc[nH]c3c3ccc4cc(oc4c3c2=C1)-c1ccc[nH]1,0.197959
[SiH2]1C=c2c3cc4ccc5nsnc5c4cc3c3ncc(cc3c2=C1)-c1nccs1,0.179974
[SiH2]1C=c2c3ccc4c[nH]cc4c3c3ccc4cc(sc4c3c2=C1)-c1scc2ccsc12,0.176531
[SiH2]1C=c2c3ccc4c[nH]cc4c3c3cnc4cc([nH]c4c3c2=C1)-c1scc2sccc12,0.177657
[SiH2]1C=c2c3ccc4cocc4c3c3c4c[nH]cc4c(cc3c2=C1)-c1ccco1,0.17978
[SiH2]1C=c2c3ccc4cocc4c3c3c4cocc4c4cc(ncc4c3c2=C1)C1=CC=C[SiH2]1,0.170465
[SiH2]1C=c2c3ccc4cscc4c3c3cnc4cc(sc4c3c2=C1)-c1cccnc1,0.177638
[SiH2]1C=c2c3ccc4nsnc4c3c3ccc4cc(cnc4c3c2=C1)-c1scc2occc12,0.179147
[SiH2]1C=c2c3ccc4nsnc4c3c3ncc4cc(-c5cccnc5)c5nsnc5c4c3c2=C1,0.173153
[SiH2]1C=c2c3ccccc3c3c4cocc4c4C=C([SiH2]c4c3c2=C1)c1nccc2nsnc12,0.175
[SiH2]1C=c2c3ccccc3c3c4cscc4c4cc(cnc4c3c2=C1)-c1nccc2nsnc12,0.186967
[SiH2]1C=c2c3ccccc3c3cc4c5cscc5c(cc4cc3c2=C1)-c1ccc[nH]1,0.182966
[SiH2]1C=c2c3ccccc3c3ncc4cc(ncc4c3c2=C1)-c1scc2nccnc12,0.184729
[SiH2]1C=c2c3cccnc3c3ccc4cc(-c5scc6cc[nH]c56)c5cscc5c4c3c2=C1,0.180028
[SiH2]1C=c2c3cccnc3c3ncc4C=C([SiH2]c4c3c2=C1)c1scc2nccnc12,0.187663
[SiH2]1C=c2c3cccnc3c3ncc4cc(-c5scc6C=C[SiH2]c56)c5cocc5c4c3c2=C1,0.178778
[SiH2]1C=c2c3ccncc3c3c4ccccc4c4cc([nH]c4c3c2=C1)-c1scc2ccsc12,0.173841
[SiH2]1C=c2c3ccncc3c3c4nsnc4c4cc(cnc4c3c2=C1)-c1scc2C=C[SiH2]c12,0.176343
[SiH2]1C=c2c3ccncc3c3ccc4cc(cnc4c3c2=C1)-c1cccnc1,0.186313
[SiH2]1C=c2c3ccoc3c3c4cocc4c4cc(ccc4c3c2=C1)-c1cccnc1,0.183138
[SiH2]1C=c2c3ccoc3c3c4nsnc4c4cc(ncc4c3c2=C1)-c1cccc2cscc12,0.183781
[SiH2]1C=c2c3ccoc3c3cc4[nH]c(cc4cc3c2=C1)-c1cccc2ccccc12,0.18905
[SiH2]1C=c2c3ccoc3c3cc4[nH]c(cc4cc3c2=C1)-c1scc2ccoc12,0.188927
[SiH2]1C=c2c3ccoc3c3cc4ccc(cc4cc3c2=C1)-c1scc2occc12,0.188663
[SiH2]1C=c2c3ccoc3c3oc4cc(ncc4c3c2=C1)-c1cccc2nsnc12,0.196158
[SiH2]1C=c2c3ccsc3c3[nH]c4cc(-c5scc6cc[nH]c56)c5c[nH]cc5c4c3c2=C1,0.178168
[SiH2]1C=c2c3ccsc3c3c4nsnc4c4cc(sc4c3c2=C1)-c1ncncn1,0.178548
[SiH2]1C=c2c3ccsc3c3oc4cc(-c5scc6[nH]ccc56)c5cscc5c4c3c2=C1,0.176966
[SiH2]1C=c2ccc3[nH]c(cc3c2=C1)-c1cc2c(ccc3nsnc23)[nH]1,0.19253
[SiH2]1C=c2ccc3[nH]c4c(c5cocc5c5cc(ccc45)-c4cccnc4)c3c2=C1,0.186331
[SiH2]1C=c2ccc3[nH]c4c5[SiH2]C(=Cc5ncc4c3c2=C1)C1=CC=C[SiH2]1,0.190234
[SiH2]1C=c2ccc3[nH]c4c5oc(cc5sc4c3c2=C1)-c1scc2C=C[SiH2]c12,0.187477
[SiH2]1C=c2ccc3[nH]c4cc5cc(-c6ccccc6)c6c[nH]cc6c5cc4c3c2=C1,0.188652
[SiH2]1C=c2ccc3c(c4oc5cc(sc5c4c4=C[SiH2]C=c34)-c3cccc4c[nH]cc34)c2=C1,0.171927
[SiH2]1C=c2ccc3c4c[nH]cc4c4cc(-c5cccs5)c5cocc5c4c3c2=C1,0.181158
[SiH2]1C=c2ccc3c4cocc4c4c([nH]c5cc(-c6ccco6)c6c[nH]cc6c45)c3c2=C1,0.180449
[SiH2]1C=c2ccc3c4cocc4c4c5oc(cc5ccc4c3c2=C1)-c1cccs1,0.185614
[SiH2]1C=c2ccc3c4cocc4c4c5oc(cc5ccc4c3c2=C1)-c1cncs1,0.185739
[SiH2]1C=c2ccc3c4cocc4c4cc(oc4c3c2=C1)-c1scc2[nH]ccc12,0.187362
[SiH2]1C=c2ccc3c4cscc4c(cc3c2=C1)-c1ccc2ccsc2c1,0.187147
[SiH2]1C=c2ccc3c4cscc4c4c5cnc(cc5ccc4c3c2=C1)-c1scc2[nH]ccc12,0.180879
[SiH2]1C=c2ccc3c4cscc4c4c5cnc(cc5sc4c3c2=C1)-c1ccccn1,0.178847
[SiH2]1C=c2ccc3c4nsnc4c-4c([SiH2]c5cc([nH]c-45)-c4ccc[nH]4)c3c2=C1,0.188228
[SiH2]1C=c2ccc3c4nsnc4c4c(sc5cc(C6=CC=C[SiH2]6)c6cscc6c45)c3c2=C1,0.172993
[SiH2]1C=c2ccc3c4nsnc4c4c5oc(cc5ccc4c3c2=C1)-c1scc2occc12,0.185081
[SiH2]1C=c2ccc3cc4ccc(cc4cc3c2=C1)-c1ccccn1,0.195379
[SiH2]1C=c2ccc3ccc(cc3c2=C1)-c1cc2[nH]ccc2c2c[nH]cc12,0.203966
[SiH2]1C=c2ccc3ccc4c(oc5cc(-c6nccs6)c6ccccc6c45)c3c2=C1,0.187421
[SiH2]1C=c2ccc3ccc4c5cnc(cc5cnc4c3c2=C1)-c1scc2cc[nH]c12,0.190653
[SiH2]1C=c2ccc3cnc4c(ccc5cc(C6=CC=C[SiH2]6)c6ccccc6c45)c3c2=C1,0.183011
[SiH2]1C=c2ccc3ncc-4c([SiH2]c5cc([nH]c-45)-c4scc5ccsc45)c3c2=C1,0.187132
[SiH2]1C=c2ccc3ncc4c(ccc5cc(ncc45)-c4scc5occc45)c3c2=C1,0.191961
[SiH2]1C=c2ccc3ncc4c5ccc(cc5cnc4c3c2=C1)-c1cccc2c[nH]cc12,0.203263
[SiH2]1C=c2ccc3oc(cc3c2=C1)-c1cc2[SiH2]C=Cc2[nH]1,0.201075
[SiH2]1C=c2ccc3oc4c(c5c[nH]cc5c5cc(ncc45)-c4cccc5cscc45)c3c2=C1,0.186088
[SiH2]1C=c2ccc3oc4c(c5cocc5c5cc(ccc45)-c4ccccc4)c3c2=C1,0.189048
[SiH2]1C=c2ccc3oc4c(c5cocc5c5cc(ccc45)-c4ccco4)c3c2=C1,0.189435
[SiH2]1C=c2ccc3oc4c(cnc5cc(cnc45)-c4ccccc4)c3c2=C1,0.196412
[SiH2]1C=c2ccc3oc4c5[nH]c(cc5c5nsnc5c4c3c2=C1)-c1ccccn1,0.186649
[SiH2]1C=c2ccc3oc4c5[SiH2]C(=Cc5c5ccccc5c4c3c2=C1)c1ccc[nH]1,0.181281
[SiH2]1C=c2ccc3oc4cc5cc(-c6ncncn6)c6=C[SiH2]C=c6c5cc4c3c2=C1,0.180865
[SiH2]1C=c2ccc3sc4c(c5cocc5c5cc(-c6ccccn6)c6c[nH]cc6c45)c3c2=C1,0.177362
[SiH2]1C=c2ccc3sc4c(c5cscc5c5cc(ncc45)-c4ccccn4)c3c2=C1,0.180864
[SiH2]1C=c2ccc3sc4c(ncc5cc(oc45)-c4scc5[SiH2]C=Cc45)c3c2=C1,0.188645
[SiH2]1C=c2ccc3sc4c(sc5cc(-c6cncs6)c6=C[SiH2]C=c6c45)c3c2=C1,0.174958
[SiH2]1C=c2ccc3sc4c(sc5cc(-c6scc7ccoc67)c6cscc6c45)c3c2=C1,0.17655
[SiH2]1C=c2ccc3sc4cc5cc(-c6ccco6)c6cocc6c5cc4c3c2=C1,0.18786
[SiH2]1C=c2cccc(C3=Cc4cc5sc6ccc7cocc7c6c5cc4[SiH2]3)c2=C1,0.189844
[SiH2]1C=c2cccc(C3=Cc4ccc5c6ncccc6c6cscc6c5c4[SiH2]3)c2=C1,0.187479
